Ticker;Quarter;Revenue;Gross Profit;Operating Income;Basic Average Shares;Operating Cashflow;Total Debt;Current Assets;Current Liabilities;PE;PEG;Price on Report Date;Growth;Market Cap
TXN;30.06.2026 00:00;5463000000;3352000000;2327000000;912000000;2703000000;14052000000;15757000000;3244000000;39,40944;0,9;298,0700073;43,78826667;2,72E+11
UBER;30.06.2026 00:00;14191000000;6376000000;1890000000;2036458000;2862000000;14731000000;12529000000;14871000000;16,668875;6,38;72,16000366;2,612676332;1,47E+11
UMC;30.06.2026 00:00;68732662000;22322790000;14878738000;2495016000;33697362000;54289936000;2,30E+11;1,06E+11;20,02404;1,07;27,20999908;18,71405607;6,79E+10
V;30.06.2026 00:00;11633000000;8895000000;7130000000;1880795000;6554000000;23858000000;31002000000;31467000000;31,744059;1,69;343,0899963;18,78346686;6,45E+11
VRT;30.06.2026 00:00;3274300000;1234900000;637900000;384555346;1099800000;3338200000;9984900000;7243000000;61,929394;0,86;334,8200073;72,01092326;1,29E+11
WDAY;30.04.2026 00:00;2542000000;1938000000;338000000;253891000;696000000;3805000000;6592000000;6535000000;39,680195;0,73;122,4000015;54,35643151;3,11E+10
PLTR;30.06.2026 00:00;1935464000;1638594000;912004000;2399820000;1216167000;211400000;11099513000;1535582000;151,03932;1,73;116,6699982;87,30596532;2,80E+11
PYPL;30.06.2026 00:00;8682000000;3900000000;1540000000;877000000;1983000000;13400000000;62346000000;48406000000;10,010909;0,86;43,18000031;11,64059186;3,79E+10
QCOM;30.06.2026 00:00;9947000000;5277000000;1626000000;1057000000;991000000;15270000000;23004000000;11413000000;19,626728;0,74;184,7899933;26,52260541;1,95E+11
ROK;30.06.2026 00:00;2313000000;1144000000;481000000;111048676;724000000;3613000000;3948000000;3672000000;40,757507;1,84;495,0799866;22,15081902;5,50E+10
ROKU;30.06.2026 00:00;1354690000;673696000;146175000;147972000;284644000;474118000;3606349000;1258235000;66,14195;0,61;138,1399994;108,4294262;2,04E+10
RTX;30.06.2026 00:00;24708000000;5133000000;2811000000;1350700000;3547000000;38856000000;63912000000;63245000000;35,075176;2,38;189,7299957;14,73746891;2,56E+11
SAP;30.06.2026 00:00;9878000000;7228000000;2651000000;1153000000;3154000000;10507000000;22649000000;19734000000;26,949564;1,6;154,1100006;16,8434775;1,78E+11
SHOP;30.06.2026 00:00;3583000000;1708000000;629000000;1295220307;658000000;178000000;7816000000;1460000000;100,60544;2,61;114,1800003;38,54614559;1,48E+11
SIE.DE;30.06.2026 00:00;20794000000;8504000000;3098000000;774050000;4784000000;49924000000;65141000000;45113000000;27,307692;5,35;281,1499939;5,104241495;2,18E+11
SMCI;31.03.2026 00:00;10243014000;1018680000;625868000;600205000;-6615426000;8805804000;21568286000;8122635000;11,830838;0,91;22,77000046;13,00092088;1,37E+10
SNPS;30.04.2026 00:00;2275985000;1646135000;236320000;191464000;628934000;10841960000;5437218000;3790632000;68,250435;2,22;482,6000061;30,74343919;9,24E+10
SONY;30.06.2026 00:00;2,84E+12;1,04E+12;4,74E+11;5891838000;1,97E+11;1,87E+12;6,12E+12;4,92E+12;21,23707;1,66;20,05999947;12,79341566;1,18E+11
SPOT;30.06.2026 00:00;4777000000;1596000000;655000000;205788241;816000000;466000000;10376000000;4914000000;29,810337;1,54;459,1300049;19,35736169;9,45E+10
TDY;30.06.2026 00:00;1662500000;738100000;333200000;46329138;315200000;2027000000;3200600000;1467400000;29,39894;1,4;666,9000244;20,99924286;3,09E+10
TER;30.06.2026 00:00;1328990000;794618000;440842000;156470000;469138000;100127000;2366022000;1113516000;49,061028;0,61;483,8399963;80,42791475;7,57E+10
TSLA;30.06.2026 00:00;28236000000;4751000000;398000000;3237000000;4697000000;16080000000;68758000000;35425000000;312,613;4,26;420,6000061;73,38333333;1,36E+12
TSM;30.06.2026 00:00;1,27E+12;8,60E+11;7,67E+11;5185776147;7,83E+11;9,82E+11;4,57E+12;1,86E+12;31,650564;0,78;477,5700073;40,57764615;2,48E+12
TT;30.06.2026 00:00;6353500000;2259700000;1224300000;221000000;1087700000;4616800000;9006800000;8390900000;32,823055;1,55;491,1600037;21,17616452;1,09E+11
