Ticker;Quarter;Revenue;Gross Profit;Operating Income;Basic Average Shares;Operating Cashflow;Total Debt;Current Assets;Current Liabilities;PE;PEG;Price on Report Date;Market Cap;Growth
2303.TW;30.06.2026 00:00;68732662000;22322790000;14878738000;12475080000;33697362000;54289936000;2,30E+11;1,06E+11;19,726858;1,09;164,5;2,05E+12;18,09803486
2454.TW;31.03.2026 00:00;1,49E+11;69055353000;22891206000;1592690268;-17656664000;38337165000;3,78E+11;3,10E+11;73,18084;1,64;1490;2,37E+12;44,62246341
3711.TW;30.06.2026 00:00;1,91E+11;40150000000;21134000000;4389166667;47014000000;2,96E+11;3,60E+11;3,37E+11;44,95413;0,99;680;2,98E+12;45,40821212
6758.T;30.06.2026 00:00;2,84E+12;1,04E+12;4,74E+11;5891838000;1,97E+11;1,87E+12;6,12E+12;4,92E+12;20,823282;1,69;3280;1,93E+13;12,32146864
AAPL;30.06.2026 00:00;1,09E+11;54770000000;35695000000;14656110000;34369000000;84344000000;1,50E+11;1,49E+11;36,810997;2,56;289,3599854;4,24E+12;14,3792957
ABNB;30.06.2026 00:00;3608000000;2975000000;758000000;592000000;1270000000;2496000000;25479000000;18092000000;41,033543;1,73;143,1000061;84715203611;23,71881098
ACLS;30.06.2026 00:00;215175000;91189000;20281000;30805000;18373000;41567000;979771000;200101000;38,262627;1,45;189,4499969;5836007155;26,38801862
ADBE;31.05.2026 00:00;6618000000;5903000000;2238000000;402000000;2165000000;7065000000;9068000000;12078000000;14,919091;0,7;274,0299988;1,10E+11;21,31298714
ADI;30.04.2026 00:00;3623465000;2439798000;1379680000;487605000;872041000;8684849000;7809773000;4456907000;42,963142;0,53;402,2600098;1,96E+11;81,06253208
ADSK;30.04.2026 00:00;1934000000;1759000000;571000000;211000000;893000000;2724000000;4374000000;5240000000;29,205805;0,95;237;50007000000;30,74295263
AMAT;30.04.2026 00:00;7910000000;3947000000;2523000000;794000000;845000000;7268000000;22571000000;8998000000;39,193104;0,88;394,4899902;3,13E+11;44,53761818
AMD;30.06.2026 00:00;11536000000;6203000000;1990000000;1632000000;2366000000;4276000000;31522000000;12081000000;119,50255;0,48;580,9099731;9,48E+11;248,9636458
ARM;30.06.2026 00:00;1289000000;1253000000;98000000;1066000000;902000000;464000000;6339000000;1207000000;248,98108;1,93;354,5700073;3,78E+11;129,0057409
AVGO;30.04.2026 00:00;22187000000;15415000000;10859000000;4747000000;10493000000;64907000000;42213000000;18862000000;45,328243;0,42;417,4299927;1,98E+12;107,9243881
